region,year,capture_mass_level
Владимирская область,2011,14.0
Воронежская область,2011,52.0
Ивановская область,2011,24.0
Калужская область,2011,135.0
Костромская область,2011,34.0
Курская область,2011,46.0
Липецкая область,2011,1200.0
Московская область,2011,860.0
Орловская область,2011,7.0
Рязанская область,2011,506.0
Смоленская область,2011,91.0
Тамбовская область,2011,11.0
Тверская область,2011,23.0
Тульская область,2011,667.0
Ярославская область,2011,44.0
г. Москва,2011,67.0
Республика Карелия,2011,108.0
Республика Коми,2011,336.0
Архангельская область,2011,656.0
Вологодская область,2011,1609.0
Калининградская область,2011,13.0
Ленинградская область,2011,943.0
Мурманская область,2011,1792.0
Новгородская область,2011,99.0
Псковская область,2011,11.0
г. Санкт-Петербург,2011,123.0
Республика Адыгея,2011,4.0
Республика Калмыкия,2011,0.1
Краснодарский край,2011,649.0
Астраханская область,2011,13.0
Волгоградская область,2011,201.0
Ростовская область,2011,882.0
Республика Дагестан,2011,1.0
Республика Ингушетия,2011,0.0
Кабардино-Балкарская Республика,2011,1.0
Карачаево-Черкесская Республика,2011,337.0
Республика Северная Осетия - Алания,2011,209.0
Ставропольский край,2011,59.0
Республика Башкортостан,2011,520.0
Республика Марий Эл,2011,9.0
Республика Мордовия,2011,476.0
Республика Татарстан,2011,322.0
Удмуртская Республика,2011,20.0
Чувашская Республика,2011,11.0
Кировская область,2011,101.0
Нижегородская область,2011,215.0
Оренбургская область,2011,683.0
Пензенская область,2011,23.0
Самарская область,2011,455.0
Саратовская область,2011,457.0
Ульяновская область,2011,199.0
Курганская область,2011,115.0
Свердловская область,2011,9354.0
Тюменская область,2011,41.0
Челябинская область,2011,3888.0
Республика Алтай,2011,11.0
Республика Бурятия,2011,646.0
Республика Тыва,2011,20.0
Республика Хакасия,2011,144.0
Алтайский край,2011,712.0
Красноярский край,2011,9067.0
Иркутская область,2011,3003.0
Кемеровская область,2011,6321.0
Новосибирская область,2011,907.0
Омская область,2011,1759.0
Томская область,2011,352.0
Республика Саха (Якутия),2011,417.0
Приморский край,2011,2551.0
Хабаровский край,2011,580.0
Амурская область,2011,322.0
Магаданская область,2011,45.0
Сахалинская область,2011,398.0
Еврейская автономная область,2011,150.0
Чукотский автономный округ,2011,29.0
Белгородская область,2012,850.0
Брянская область,2012,523.0
Владимирская область,2012,13.0
Воронежская область,2012,49.0
Ивановская область,2012,21.0
Калужская область,2012,135.0
Костромская область,2012,29.0
Курская область,2012,41.0
Липецкая область,2012,1418.0
Московская область,2012,944.0
Орловская область,2012,5.0
Рязанская область,2012,464.0
Смоленская область,2012,89.0
Тамбовская область,2012,12.0
Тверская область,2012,24.0
Тульская область,2012,622.0
Ярославская область,2012,46.0
г. Москва,2012,47.0
Республика Карелия,2012,93.0
Республика Коми,2012,413.0
Архангельская область,2012,648.0
Вологодская область,2012,1562.0
Калининградская область,2012,10.0
Ленинградская область,2012,931.0
Мурманская область,2012,1605.0
Новгородская область,2012,111.0
Псковская область,2012,16.0
г. Санкт-Петербург,2012,114.0
Республика Адыгея,2012,5.0
Республика Калмыкия,2012,0.2
Краснодарский край,2012,1411.0
Астраханская область,2012,13.0
Волгоградская область,2012,211.0
Ростовская область,2012,1101.0
Республика Дагестан,2012,2.0
Республика Ингушетия,2012,0.0
Кабардино-Балкарская Республика,2012,1.0
Карачаево-Черкесская Республика,2012,303.0
Республика Северная Осетия - Алания,2012,210.0
Ставропольский край,2012,61.0
Республика Башкортостан,2012,483.0
Республика Марий Эл,2012,10.0
