region,year,vrp
Республика Марий Эл,2010,82374.4
Республика Мордовия,2010,105343.8
Республика Татарстан,2010,1001622.8
Удмуртская Республика,2010,274578.1
Чувашская Республика,2010,157704.6
Кировская область,2010,172352.0
Нижегородская область,2010,652805.9
Оренбургская область,2010,458145.4
Пензенская область,2010,172166.7
Самарская область,2010,695651.2
Саратовская область,2010,376169.4
Ульяновская область,2010,178235.4
Курганская область,2010,117879.5
Свердловская область,2010,1046600.1
Тюменская область,2010,3301573.3
Челябинская область,2010,652865.5
Республика Алтай,2010,22393.7
Республика Тыва,2010,30772.8
Республика Хакасия,2010,96039.8
Алтайский край,2010,302900.7
Красноярский край,2010,1055525.0
Иркутская область,2010,546141.0
Кемеровская область,2010,625914.9
Новосибирская область,2010,484141.3
Омская область,2010,382620.4
Томская область,2010,284676.7
Республика Бурятия,2010,133525.6
Республика Саха (Якутия),2010,386825.1
Приморский край,2010,470679.2
Хабаровский край,2010,353590.3
Амурская область,2010,178689.6
Магаданская область,2010,59619.7
Сахалинская область,2010,487659.5
Еврейская автономная область,2010,31555.9
Чукотский автономный округ,2010,38978.1
Белгородская область,2011,507839.8
Брянская область,2011,174211.8
Владимирская область,2011,261222.6
Воронежская область,2011,474973.9
Ивановская область,2011,128905.4
Калужская область,2011,234749.0
Костромская область,2011,116629.8
Курская область,2011,228851.4
Липецкая область,2011,287816.8
Московская область,2011,2176795.3
Орловская область,2011,131198.2
Рязанская область,2011,214142.6
Смоленская область,2011,180811.5
Тамбовская область,2011,173283.1
Тверская область,2011,255073.0
Тульская область,2011,279879.3
Ярославская область,2011,286967.5
г. Москва,2011,9948772.8
Республика Карелия,2011,154953.7
Республика Коми,2011,435959.3
Архангельская область,2011,439116.8
Вологодская область,2011,323067.9
Калининградская область,2011,241004.8
Ленинградская область,2011,581712.0
Мурманская область,2011,263811.7
Новгородская область,2011,153419.7
Псковская область,2011,100498.5
г. Санкт-Петербург,2011,2091914.3
Республика Адыгея,2011,56803.3
Республика Калмыкия,2011,29318.7
Краснодарский край,2011,1244652.8
Астраханская область,2011,172616.6
Волгоградская область,2011,508433.3
Ростовская область,2011,765967.2
Республика Дагестан,2011,330322.8
Республика Ингушетия,2011,26858.899999999998
Кабардино-Балкарская Республика,2011,90594.5
Карачаево-Черкесская Республика,2011,49252.1
Республика Северная Осетия - Алания,2011,85876.7
Ставропольский край,2011,396791.6
Республика Башкортостан,2011,941023.6
Республика Марий Эл,2011,97323.3
