region,year,opzh
Республика Башкортостан,2011,69.04
Республика Марий Эл,2011,68.31
Республика Мордовия,2011,70.11
Республика Татарстан,2011,71.3
Удмуртская Республика,2011,68.88
Чувашская Республика,2011,69.66
Кировская область,2011,69.32
Нижегородская область,2011,68.48
Оренбургская область,2011,68.31
Пензенская область,2011,70.23
Самарская область,2011,69.02
Саратовская область,2011,69.86
Ульяновская область,2011,69.5
Курганская область,2011,68.36
Свердловская область,2011,69.29
Тюменская область,2011,70.45
Челябинская область,2011,68.79
Республика Алтай,2011,65.4
Республика Тыва,2011,61.39
Республика Хакасия,2011,67.75
Алтайский край,2011,68.97
Красноярский край,2011,68.27
Иркутская область,2011,65.93
Кемеровская область,2011,66.18
Новосибирская область,2011,69.68
Омская область,2011,69.5
Томская область,2011,69.53
Республика Бурятия,2011,66.09
Республика Саха (Якутия),2011,67.67
Приморский край,2011,67.17
Хабаровский край,2011,66.0
Амурская область,2011,64.82
Магаданская область,2011,65.99
Сахалинская область,2011,65.68
Еврейская автономная область,2011,63.35
Чукотский автономный округ,2011,61.58
Белгородская область,2012,71.91
Брянская область,2012,69.06
Владимирская область,2012,68.6
Воронежская область,2012,70.84
Ивановская область,2012,69.3
Калужская область,2012,69.39
Костромская область,2012,69.5
Курская область,2012,69.66
Липецкая область,2012,70.03
Московская область,2012,70.4
Орловская область,2012,69.51
Рязанская область,2012,69.86
Смоленская область,2012,68.49
Тамбовская область,2012,70.67
Тверская область,2012,67.86
Тульская область,2012,68.86
Ярославская область,2012,69.87
г. Москва,2012,75.74
Республика Карелия,2012,68.0
Республика Коми,2012,68.33
Архангельская область,2012,69.65
Вологодская область,2012,69.21
Калининградская область,2012,70.12
Ленинградская область,2012,69.77
Мурманская область,2012,69.81
Новгородская область,2012,67.55
Псковская область,2012,66.53
г. Санкт-Петербург,2012,73.43
Республика Адыгея,2012,71.68
